epoch,loss,val_pr_auc,val_roc_auc,val_recall,val_f1
1,1.044086217880249,0.07794412461640289,0.4677105789043167,0.8059259259259259,0.1401520030915883
2,0.9351029396057129,0.09845364167588441,0.5497113244079975,0.8148148148148148,0.14824797843665768
3,0.862454891204834,0.11812760986034491,0.6038631586576793,0.8340740740740741,0.15783571628819737
4,0.7302184104919434,0.13463859179940424,0.6424762111846261,0.8562962962962963,0.16763341067285384
5,0.7188292145729065,0.2024861913102962,0.7116578138104557,0.8622222222222222,0.1840607210626186
6,0.6640461087226868,0.214105568367001,0.7307369096801581,0.88,0.19500984898227183
7,0.5896785259246826,0.3031384550670591,0.7580318702823595,0.8814814814814815,0.20616770616770616
8,0.5486531853675842,0.31098757785026077,0.7694148831526522,0.8903703703703704,0.2142602495543672
9,0.5427760481834412,0.3183496999111624,0.7787353358390541,0.9007407407407407,0.2210909090909091
10,0.5206403136253357,0.323533053842351,0.7863800619182223,0.9111111111111111,0.22727272727272727
11,0.49432170391082764,0.327159503401192,0.7929019766201764,0.9096296296296297,0.23091387739751787
12,0.4763738512992859,0.33012227425575247,0.7983857774464429,0.9125925925925926,0.2353840275124188
13,0.4700014293193817,0.3339951297374064,0.8032940908479068,0.9185185185185185,0.24031007751937986
14,0.46000203490257263,0.33722844740439784,0.8076614999119893,0.92,0.24386412723345768
15,0.45477038621902466,0.341167911580061,0.8117175576471076,0.92,0.2475089677162216
16,0.44186049699783325,0.344739714918525,0.8154792449704388,0.9214814814814815,0.25030181086519115
17,0.43657708168029785,0.3483417411006948,0.8189927416933287,0.92,0.2524903435657654
18,0.4300433397293091,0.3523002293242313,0.8223909959722091,0.92,0.25613528562590226
19,0.4218798577785492,0.3565034946012649,0.8256349724060096,0.9214814814814815,0.25938281901584653
20,0.4071759879589081,0.3611908117526103,0.8287532486358317,0.9259259259259259,0.2639358108108108
21,0.40240010619163513,0.3664969198761526,0.8317897265451082,0.922962962962963,0.2656716417910448
22,0.39713630080223083,0.37190785214930067,0.8347744333654314,0.9214814814814815,0.269322364148084
23,0.39131253957748413,0.3777167711888646,0.8377848186458754,0.917037037037037,0.2707194401924338
24,0.3875819742679596,0.3840017829219588,0.8407948932997856,0.917037037037037,0.27456198713683744
25,0.3814881443977356,0.3903968450146858,0.8437059816316176,0.914074074074074,0.27761529808773905
26,0.3721040189266205,0.39700695546549464,0.8464828793008833,0.914074074074074,0.28212162780064015
27,0.37142157554626465,0.4038082274155973,0.84916576067261,0.9125925925925926,0.2851191853737561
28,0.36573758721351624,0.4109288489555799,0.8517983205458745,0.914074074074074,0.2890606699461232
29,0.3628886044025421,0.4178927701968375,0.8543687551123951,0.914074074074074,0.2928334124347413
30,0.35571470856666565,0.42413498846985204,0.8568278818376666,0.9125925925925926,0.29586935638808837
31,0.3532063961029053,0.43081931245575056,0.8592335807991386,0.9111111111111111,0.2988338192419825
32,0.3489036560058594,0.43743940370625245,0.8616755195228777,0.9066666666666666,0.3011070110701107
33,0.34405168890953064,0.4442905939857587,0.8640530550119592,0.9051851851851852,0.30466217900772874
34,0.34273165464401245,0.45096354487813756,0.8662758984872487,0.9037037037037037,0.3070727410017619
35,0.3380596339702606,0.45774547450208264,0.8683605131550338,0.9051851851851852,0.3105463786531131
36,0.3340141475200653,0.4644728844151841,0.8704010188550306,0.9022222222222223,0.3123076923076923
37,0.33396801352500916,0.4710695729375394,0.872339431967612,0.9007407407407407,0.31518921721099014
38,0.32629072666168213,0.47694980756262695,0.87413164352499,0.8992592592592593,0.3182175622542595
39,0.3268156945705414,0.482565071210542,0.8758234191697988,0.8977777777777778,0.32199787460148777
40,0.320173442363739,0.4885389231078966,0.8774856852939044,0.8933333333333333,0.3233243967828418
41,0.32143929600715637,0.49367366202755186,0.8791002184739954,0.8918518518518519,0.3254933765882671
42,0.3133242130279541,0.49937749409574544,0.8806814110728004,0.8933333333333333,0.3287895310796074
43,0.3098198473453522,0.5045119841266937,0.8822419987782024,0.8933333333333333,0.3305015072622636
44,0.30697426199913025,0.5096977487390218,0.8837478126714917,0.8918518518518519,0.3333333333333333
45,0.30453211069107056,0.51407654287123,0.8851805257871794,0.8918518518518519,0.33575013943112103
46,0.30502063035964966,0.5188919844433135,0.886628666687375,0.8903703703703704,0.33811533052039383
47,0.2997213900089264,0.5231749608380365,0.8880080555814411,0.8903703703703704,0.3411864887879648
48,0.2994883060455322,0.5279111446080013,0.8893231447830273,0.8933333333333333,0.34427633457036827
49,0.29679790139198303,0.5324891464635123,0.8906201141034801,0.8918518518518519,0.345480631276901
50,0.2949146628379822,0.5370855567511913,0.8918660371302248,0.8918518518518519,0.3474747474747475
