epoch,loss,val_pr_auc,val_roc_auc,val_recall,val_f1
1,0.9810225367546082,0.06809068782271926,0.41834477474399195,0.9466666666666667,0.16269891788669638
2,0.8031291365623474,0.08514368170348985,0.5095357168742687,0.9288888888888889,0.16473988439306358
3,0.7831913828849792,0.11748074567653949,0.6085103386864639,0.9244444444444444,0.16901408450704225
4,0.6754409074783325,0.15886837027585116,0.6958284927365163,0.9274074074074075,0.17586739710633517
5,0.6607611179351807,0.19062011940533605,0.7423269033640854,0.9303703703703704,0.1849779086892489
6,0.6156942248344421,0.21433773381015908,0.7722422058625581,0.9348148148148148,0.19870886474570934
7,0.5697899460792542,0.23192219782936907,0.7916396939293221,0.9348148148148148,0.21110739377718302
8,0.5529075264930725,0.2431188347579257,0.8043074581430745,0.9377777777777778,0.22048066875653083
9,0.5310304164886475,0.2523912642398031,0.8138052785802296,0.9377777777777778,0.2263543715358484
10,0.512017011642456,0.25984167270723935,0.8212059557460731,0.9422222222222222,0.23139894487902493
11,0.4950430989265442,0.26704522668240666,0.8272947535178454,0.9392592592592592,0.23360353721444363
12,0.4914286732673645,0.2736071546974941,0.8326170285465784,0.9392592592592592,0.2363466915191053
13,0.4715210795402527,0.2798958362629753,0.8372470205738307,0.9392592592592592,0.23834586466165414
14,0.4585062861442566,0.285958802861522,0.8412685987637062,0.9407407407407408,0.2414448669201521
15,0.44963937997817993,0.29178599774845415,0.8450251089781421,0.9407407407407408,0.24394928928159815
16,0.43977588415145874,0.29709483391820135,0.8483597883597883,0.9407407407407408,0.24703365104065356
17,0.43348559737205505,0.30281982575790045,0.851502086374885,0.9407407407407408,0.24990161353797719
18,0.42262551188468933,0.3097794429808869,0.8545621719007237,0.9377777777777778,0.2522414823670054
19,0.41496023535728455,0.31702713223724266,0.8575202683813252,0.9377777777777778,0.25498489425981874
20,0.40560317039489746,0.32499280411538817,0.8604822994646869,0.9377777777777778,0.25815660685154973
21,0.40175095200538635,0.33374271091940894,0.8634268319199826,0.9362962962962963,0.2604037906880923
22,0.39469507336616516,0.343593465098082,0.8663883452924548,0.9318518518518518,0.26279506998119906
23,0.38960519433021545,0.3539368697211459,0.869267232006958,0.9303703703703704,0.2675186368477103
24,0.38341349363327026,0.3650962502061241,0.872070222305056,0.9288888888888889,0.27049180327868855
25,0.3782182037830353,0.37620065493276506,0.874760558713592,0.9274074074074075,0.2743808897655052
26,0.3707510530948639,0.38763384973216003,0.877432153987927,0.9259259259259259,0.2771618625277162
27,0.36961492896080017,0.40023841855225933,0.8800241253274521,0.9259259259259259,0.2802690582959641
28,0.3623438775539398,0.4131798628789,0.882475279305025,0.922962962962963,0.28324619231643555
29,0.35943853855133057,0.4265216330121974,0.8848919537373549,0.92,0.2860432980193459
30,0.35633209347724915,0.43983234113298675,0.8872086064258276,0.922962962962963,0.29017233348858873
31,0.35208702087402344,0.4530362711544728,0.8894743163627705,0.9214814814814815,0.29339622641509433
32,0.3494434058666229,0.465704226617184,0.8915265223288708,0.9214814814814815,0.29767887054319214
33,0.3446686565876007,0.4780581457368664,0.893474979032709,0.9214814814814815,0.30172204705311667
34,0.34118086099624634,0.4899093722884008,0.8952838608807299,0.92,0.3052347014008356
35,0.33704379200935364,0.5006287461141758,0.8969366011244682,0.92,0.3083416087388282
36,0.3318803608417511,0.5097589609599689,0.8983285186220608,0.9214814814814815,0.31217063989962357
37,0.3282439410686493,0.5176010724715019,0.8994733844831693,0.9214814814814815,0.3167006109979633
38,0.32260799407958984,0.5247614123071936,0.9004729806686754,0.92,0.31862493586454593
39,0.3205704689025879,0.5305987479101013,0.9013518466747431,0.92,0.3204334365325077
40,0.3178408741950989,0.5356947730090073,0.9020915519937046,0.9214814814814815,0.32336885885105277
41,0.31534823775291443,0.540365542830953,0.902778554344112,0.92,0.3260698346022578
42,0.3154163658618927,0.5444086901826781,0.9033816875304156,0.92,0.32770448548812664
43,0.3120045065879822,0.5474782873887523,0.9039358452665694,0.9185185185185185,0.3303143313798615
44,0.3089231252670288,0.5504706025648994,0.9044042700794167,0.917037037037037,0.3329747175901022
45,0.30201536417007446,0.5538683486928874,0.9048683461207923,0.917037037037037,0.33550135501355016
46,0.2982560694217682,0.5568773941769228,0.9053144058232121,0.917037037037037,0.3385288487831556
47,0.3008844256401062,0.5603300910001838,0.9057919423477155,0.9155555555555556,0.3405896941306145
48,0.29570502042770386,0.563444963853684,0.9061980347694633,0.9155555555555556,0.3434287302028341
49,0.2976507544517517,0.566815294970933,0.9066169664212717,0.917037037037037,0.34658454647256437
50,0.2899932265281677,0.5698339360463012,0.9070195384089709,0.9125925925925926,0.34831778343228725
