epoch,loss,val_pr_auc,val_roc_auc,val_recall,val_f1
1,0.8709751963615417,0.08201616915605757,0.52898476894563,0.3288888888888889,0.11195158850226929
2,0.78121018409729,0.09516202390440362,0.5941296762236097,0.6651851851851852,0.19959991109135364
3,0.7121192812919617,0.11845810251377578,0.6674701539672184,0.8577777777777778,0.23970192506727386
4,0.667394757270813,0.14932277899388677,0.7272296254879426,0.8903703703703704,0.2452560701897572
5,0.6274187564849854,0.1793185914557782,0.7667184377556197,0.9066666666666666,0.2470730722648365
6,0.5876355767250061,0.20385058912533713,0.7909545553381171,0.914074074074074,0.24784093191403897
7,0.5651870369911194,0.22542489887008113,0.8080969983122624,0.917037037037037,0.2486942547207714
8,0.5437663793563843,0.2437470177970885,0.8205985773304756,0.917037037037037,0.25005049484952535
9,0.5260387659072876,0.2601737814091768,0.8299201689808343,0.9155555555555556,0.2519364044027721
10,0.5048639178276062,0.275230865769733,0.837183859845308,0.9155555555555556,0.2548979170963085
11,0.500594437122345,0.2887496334154711,0.8427420039553112,0.9125925925925926,0.25779451768152334
12,0.49528729915618896,0.3017453558888243,0.847247952453432,0.9111111111111111,0.26109106346847805
13,0.47251689434051514,0.3147928431075665,0.8511188767744541,0.9081481481481481,0.26548289302728456
14,0.46505311131477356,0.3271804459262937,0.8543597469429172,0.9051851851851852,0.2695191883546537
15,0.45170554518699646,0.34018636167500305,0.8572898870354839,0.9007407407407407,0.2749886928991407
16,0.4485055208206177,0.3535870832688702,0.8598591826380478,0.8918518518518519,0.2798698279869828
17,0.4410885274410248,0.3666660952845584,0.862032740036654,0.8918518518518519,0.2857142857142857
18,0.4340131878852844,0.3788995798812527,0.8638199815694924,0.8874074074074074,0.2913424124513619
19,0.4246056079864502,0.3912415111509802,0.8653987926982056,0.8785185185185185,0.2941468253968254
20,0.41548725962638855,0.4042521516717031,0.866922415846095,0.8755555555555555,0.2993162826031907
21,0.41540953516960144,0.41799890534887707,0.8683136085484423,0.8740740740740741,0.3049095607235142
22,0.40674155950546265,0.4309830088895326,0.869431656985473,0.8696296296296296,0.30951753229633533
23,0.40491536259651184,0.4425737809700288,0.8703466592116298,0.8666666666666667,0.3135048231511254
24,0.4006425440311432,0.452399530939525,0.8710496070574348,0.8666666666666667,0.31819418003807454
25,0.3963816165924072,0.46266285746801833,0.8717476884208784,0.8622222222222222,0.32092638544251445
26,0.3910122513771057,0.4721472691011291,0.8724089087689869,0.8622222222222222,0.32523051131601005
27,0.3942502439022064,0.48192037784972996,0.8729978566769172,0.8607407407407407,0.3282485875706215
28,0.39158007502555847,0.49172598341693075,0.8736458236262542,0.8592592592592593,0.33029612756264237
29,0.3888181149959564,0.5002396937604197,0.8742563083071888,0.8548148148148148,0.3315139327779374
30,0.3799462616443634,0.5091907779139324,0.8748612017105168,0.8562962962962963,0.3328534408292542
31,0.3786701261997223,0.5169785978216027,0.8754882531399166,0.8548148148148148,0.33304473304473303
32,0.3729870319366455,0.5237327644581365,0.8761049503515257,0.8548148148148148,0.33410538506079906
33,0.37238073348999023,0.529651691090699,0.8767079799956513,0.8533333333333334,0.33304423243712056
34,0.36909422278404236,0.53468320225748,0.8773302684848673,0.8533333333333334,0.3325635103926097
35,0.37082016468048096,0.5396422278997351,0.8779361973099742,0.8562962962962963,0.33294930875576034
36,0.3673608601093292,0.5442762616768718,0.8785452324004183,0.8577777777777778,0.33190025795356837
37,0.3667810559272766,0.5483262256015214,0.8790670849770653,0.8577777777777778,0.3311409779811267
38,0.3609526753425598,0.5519715231986566,0.8795838639869951,0.8592592592592593,0.3309557774607703
39,0.3619233965873718,0.5548189302462209,0.8800439018834323,0.8607407407407407,0.3305832147937411
40,0.35749733448028564,0.5571870073599408,0.8804539289079406,0.8607407407407407,0.329645390070922
41,0.35042086243629456,0.5596946879571292,0.8808443864608249,0.8607407407407407,0.3278781038374718
42,0.3484799265861511,0.561922709923168,0.8811735470443885,0.8607407407407407,0.32677165354330706
43,0.3449254631996155,0.5643819059205861,0.8814419283695213,0.8637037037037038,0.32762011801067714
44,0.35764655470848083,0.5667868074757697,0.8817198355750214,0.8637037037037038,0.32624510352546165
45,0.34047895669937134,0.5693264126044985,0.8819287836900361,0.8666666666666667,0.32626882320133854
46,0.34515663981437683,0.5712959937799302,0.8820919661624161,0.8666666666666667,0.3263598326359833
47,0.33987364172935486,0.5746010428104594,0.8822087617390943,0.8651851851851852,0.3268047006155568
48,0.34354478120803833,0.5766872411621529,0.8823290777498215,0.8637037037037038,0.3274361134512777
49,0.33553847670555115,0.5793809520166637,0.8824170886010416,0.8637037037037038,0.32909963307931134
50,0.3357158899307251,0.5816930220213319,0.882436554530488,0.8637037037037038,0.3298444130127298
