epoch,loss,val_pr_auc,val_roc_auc,val_recall,val_f1
1,0.9025435447692871,0.08533778143259094,0.546678470474948,0.4562962962962963,0.14904427776433585
2,0.7646738290786743,0.09834753635281585,0.5952466892388615,0.642962962962963,0.18602657522503216
3,0.703793466091156,0.11450806592515464,0.6418667619254703,0.7851851851851852,0.2112816424157863
4,0.6558006405830383,0.13032955650660943,0.6759365907702501,0.8222222222222222,0.21637426900584794
5,0.6262191534042358,0.14231792119851952,0.6986337609625282,0.837037037037037,0.21946008933773548
6,0.6028431057929993,0.1515302251159442,0.7126555462367595,0.8533333333333334,0.22381970079658053
7,0.5904861688613892,0.1595831831021279,0.7219747564170264,0.8562962962962963,0.2265334117185969
8,0.5737485885620117,0.1660970570225095,0.7285575539195892,0.8533333333333334,0.2279833762121512
9,0.5564116835594177,0.17198055919024008,0.7334829517804078,0.84,0.22812311406155703
10,0.560488224029541,0.17719501506262508,0.7369519253667982,0.8281481481481482,0.2293803857201477
11,0.526675283908844,0.18230141405691758,0.7395741310222719,0.8133333333333334,0.2310119924258363
12,0.5271693468093872,0.18739762580667718,0.7418817755412668,0.8,0.23225806451612904
13,0.5067054033279419,0.192151880464134,0.7437979270855983,0.7911111111111111,0.23544973544973544
14,0.5076198577880859,0.1970875031714719,0.7459563673262303,0.7866666666666666,0.23978324678256943
15,0.4988912343978882,0.20180965111696567,0.7480419138736165,0.7777777777777778,0.24288688410825815
16,0.48844027519226074,0.20660762753928064,0.7500487683657937,0.7718518518518519,0.24662721893491124
17,0.47841230034828186,0.21141105734648663,0.751998260491411,0.7585185185185185,0.24951267056530213
18,0.47313886880874634,0.21621616460914006,0.7540780086768345,0.7481481481481481,0.2525631407851963
19,0.4659300446510315,0.2208755661955521,0.7561368413423208,0.7451851851851852,0.2561099796334012
20,0.46108195185661316,0.22552380862372756,0.7583597883597885,0.7422222222222222,0.2591155934833204
21,0.45926594734191895,0.23026669860794546,0.7607778088404311,0.7407407407407407,0.26191723415400736
22,0.45361799001693726,0.23457688716246894,0.7632547448203025,0.7407407407407407,0.2646903123345686
23,0.44603240489959717,0.23849065390476146,0.7657395500056948,0.7392592592592593,0.2658497602557272
24,0.446185439825058,0.24233378919895757,0.7684674722248108,0.7377777777777778,0.2658126501200961
25,0.4444606304168701,0.24589771982978342,0.7712373290259787,0.7511111111111111,0.2700399467376831
26,0.4487801194190979,0.24927102337454293,0.7739500305449424,0.7585185185185185,0.27197875166002655
27,0.432844877243042,0.2524429672683518,0.7767266175876744,0.762962962962963,0.27320954907161804
28,0.42351701855659485,0.25538148567224683,0.7794727632301018,0.7674074074074074,0.27342306677223543
29,0.4319095015525818,0.25798447756670584,0.7820700152207002,0.7733333333333333,0.2748091603053435
30,0.4151397943496704,0.2606270909334533,0.784756106399942,0.7748148148148148,0.2749014454664915
31,0.41868874430656433,0.2631575386901059,0.7873993311175308,0.7881481481481482,0.2784611358283172
32,0.4105377197265625,0.2657454823277083,0.789813624079769,0.7896296296296297,0.2786928104575163
33,0.4168556332588196,0.26873767668640053,0.7921085329108812,0.7896296296296297,0.2786928104575163
34,0.41043686866760254,0.2717804621155468,0.7944018886093249,0.7911111111111111,0.2798008907518994
35,0.4070780873298645,0.27548804318677383,0.7966265958438169,0.7925925925925926,0.28157894736842104
36,0.40731385350227356,0.2787800055445562,0.7985746383789436,0.7925925925925926,0.2829190904283448
37,0.39799126982688904,0.2824693744706911,0.8004742231748102,0.794074074074074,0.28495481127060074
38,0.3902457654476166,0.2864991622943239,0.8021291378042845,0.7911111111111111,0.28632707774798927
39,0.3997970521450043,0.2905536544914157,0.8036775075326935,0.7881481481481482,0.28873812754409767
40,0.3891829550266266,0.2953172597436728,0.8051802151606458,0.7911111111111111,0.29140518417462485
41,0.3916266858577728,0.30005280333030726,0.8065288520278735,0.7896296296296297,0.2932599724896836
42,0.38159433007240295,0.304877964893219,0.8077350148583027,0.7837037037037037,0.2948717948717949
43,0.3829229772090912,0.3089641618962409,0.8087944584226385,0.7762962962962963,0.2962962962962963
44,0.38502874970436096,0.3130511593108787,0.8097213679992545,0.7703703703703704,0.2974828375286041
45,0.37961626052856445,0.3173898291199512,0.8107617598028557,0.7674074074074074,0.2998552821997106
46,0.3867191672325134,0.32132949686115986,0.8117704677000176,0.7659259259259259,0.3016336056009335
47,0.3803505599498749,0.32487462931243016,0.8127630230174262,0.7674074074074074,0.3045267489711934
48,0.38193944096565247,0.3278026190911891,0.8136938671968026,0.7644444444444445,0.30550621669627
49,0.3732873797416687,0.3316289937586751,0.8146139429896769,0.762962962962963,0.3068215668751862
50,0.36975181102752686,0.3343501739223742,0.8154917735739654,0.7585185185185185,0.3067705212702217
