total,tp,tn,fp,fn,accuracy,precision,recall,f1,split
29894,3461,26361,71,1,0.9975914899310898,0.9798980747451869,0.9997111496244945,0.9897054618244209,train
5486,414,4975,64,33,0.9823186292380606,0.8661087866108786,0.9261744966442953,0.8951351351351352,validation
11184,382,10352,196,254,0.9597639484978541,0.6608996539792388,0.60062893081761,0.629324546952224,test
