label,count,mean,median,std,min,max
illicit,4545,0.9295285,0.99873334,0.22907035,0.00014194728,0.9999553
licit,42019,0.01898214,0.00032199078,0.077118024,5.571973e-07,0.996394
unknown,157205,0.14951864,0.018402996,0.26187646,8.027505e-07,0.9999516
